Company,Date Posted,Job Category,Job_Description,Location,Title
H.H. Gregg,10/1/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Frederick, MD",Home Appliance Sales Associate
"Reebok International, LTD",10/1/2016,Retail,"Contributes to store profitability by ensuring KPIs for a defined area within the store are met or exceeded. The core expectations include coordinating team members to provide the best possible balance of service and operations, resulting in a leading shopping experience. Assumes Store manager respo ...","Oxon Hill, mD","Retail Assistant Manager - National Harbor, MD 0836 (Rpt)"
"Reebok International, LTD",10/1/2016,Retail,"Title Retail Store Associate Position Line of Business Retail Department Retail Field Location (City) Various Working Relationship Direct Reporting Line (ad) Store Manager Indirect / 2nd Direct Reporting Line Personnel Managed (Y/N) N Key Interfaces (Relationships with other dept/groups) Customers,  ...","Oxon Hill, mD","Retail Store Associate - National Harbor, MD 0836 (Rpt) 2017"
"Utz Quality Foods, Inc",9/30/2016,Retail,"Utz is the largest independent, privately held snack brand in United States. The primary mission at Utz is to maintain our hard earned reputation as the premier snack food company in our expanding market area. We will constantly strive to improve our leadership position and grow through the hallmark ...","Hanover, PA",Packer - Weekend Day Shift (P4)
Shentel,9/30/2016,Retail,"Manage the store employees and day to day operations. Must be familiar with all aspects of wireless retail, focusing specifically on operational excellence, loss prevention and the hiring, training and team leadership of the support staff. Along with the Retail Store Manager, responsible for the sal ...","York, PA",Asst. Store Manager I
Shentel,9/30/2016,Retail,"Responsible for inside sales to new and existing customers. Guide the customer through the purchasing decision, activation process and educate the customer on their purchase. Perform customer credit reviews and educate customers about their account. Qualification Requirements a. Education High schoo ...","York, PA",Retail Sales Rep.
H.H. Gregg,9/30/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Partners with the Territory Commercial Manager (TCM) to exchange business leads. TCM supplies store leads and Builder Commercial Associate provides direct sales leads to the TCM. On a daily basis reach out ...,"Rockville, MD",Fine Line Sales Associate
Children's National Health Sys...,9/30/2016,Retail,Responsible for receipt of cash and non cash sales for food items. Responsible for set of cafeteria for meal service. Assist with re stocking of food items and supplies as time permits. Demonstrate a professional services oriented and helpful attitude to all customers. Communicate pertinent informat ...,"Washington, DC",Cashier Food Service
"T-MOBILE USA, Inc.",9/30/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","Nottingham, MD",Retail Sales Associate
H.H. Gregg,9/30/2016,Retail,"Sales Training The primary goal during the Sales Training phase is to initially work on the sales floor to understand the selling process, gain a broader knowledge of our products and services and meet the sales goals assigned by management. Achievement of store sales and profitability budgets on a  ...","Catonsville, MD",Retail Manager in Training
H.H. Gregg,9/30/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Check in transfer trucks and ship out product Check in trucks and verifying any variances with management Conduct daily spot check or cycle counts Verify all returns from previous days business utilizing t ...,"Fairfax, VA",Store Operations Lead
H.H. Gregg,9/29/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Unload incoming product from semi trucks. Place product in proper location in the warehouse. Keep area free of debris. Maintain a clean and organized work area. Ensure all tasks are complete at the end of  ...,"Brandywine, MD",Warehouse II Delivery
H.H. Gregg,9/29/2016,Retail,"Sales Training The primary goal during the Sales Training phase is to initially work on the sales floor to understand the selling process, gain a broader knowledge of our products and services and meet the sales goals assigned by management. Achievement of store sales and profitability budgets on a  ...","Towson, MD",Retail Manager in Training
H.H. Gregg,9/29/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Unload incoming product from semi trucks. Place product in proper location in the warehouse. Keep area free of debris. Maintain a clean and organized work area. Ensure all tasks are complete at the end of  ...,"Brandywine, MD",Warehouse I Delivery
Colonial Parking,9/29/2016,Retail,"POSITION TITLE Cashier/Attendant  LOCATION NW, DC  HOURS Monday Friday 11 00 am 7 00 pm PRIMARY DUTIES 800 17th St NW Washington DC 20006 1. Must be courteous to customers at all times. 2. Places numbered ticket on windshield of automobile to be parked and hands customer similar ticket to be used la ...","Washington, DC",Valet/Cashier/Attendant
GTI Federal,9/29/2016,Retail,"Our client's Consumables personnel are responsible for the receipt, shipment, and tracking of all cardstock and consumable shipments and the accounting and dispensation of every returned CAC. The team is responsible for the distribution of all CAC Consumables to include ribbon, transfer film, lamina ...","Alexandria, VA",Materials Associate
"R. E. Michel Company, LLC",9/29/2016,Retail,"Entry level Counter Sales position that includes answering telephone calls, locating items, servicing customers, using computer to generate invoice, loading item(s) in customer's vehicle and delivering product to customer location. Uses all available resources to locate product. Maintains self s ...","Alexandria, VA",VA HVAC Counter Sales I Alexandria
CoStar Group,9/29/2016,Retail,"The Procurement Director will utilize their knowledge of best practices in supply chain management to design, implement and manage a procurement function for CoStar and its divisions. The role will include planning, organizing, staffing and managing purchasing and supply chain management for the com ...","Washington, DC",Director Of Procurement
H.H. Gregg,9/29/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Glen Burnie, MD",Electronic Sales Associate
H.H. Gregg,9/29/2016,Retail,"The following duties and responsibilities are essential in the daily execution of the position Assist members of management with checking in transfer trucks. Put product away in proper area of warehouse. Store maintenance; (including but not limited to) floors (mopping and vacuuming), all glass and  ...","Sterling, VA",Store Warehouse Associate
Service Industry Solutions,9/28/2016,Retail,Currenlty looking for a passive marketer. The responsibilities of the position are to go to designated areas and post flyers and marketing materials. The right candidate will have reliable transportation (car or bicycle) and familiar with the Baltimore Area. Full Time Position 40 hours per week ...,"Baltimore, MD",Passive Marketing
"R. E. Michel Company, LLC",9/28/2016,Building Services and Maintenance,"The Branch Manager is responsible for effective and profitable management of personnel, inventory and customer service. Working with Regional Managers and sales representative to establish and meet sales goals, in addition to hiring, developing and training personnel. Pre employment screening requir ...","Silver Spring, MD",*INTERNAL APPLICANTS ONLY* HVAC Branch Manager Silver Spring...
"R. E. Michel Company, LLC",9/28/2016,Building Services and Maintenance,"The Branch Manager is responsible for effective and profitable management of personnel, inventory and customer service. Working with Regional Managers and sales representative to establish and meet sales goals, in addition to hiring, developing and training personnel. Pre employment screening requir ...","Landover, MD","*INTERNAL APPLICANTS ONLY* HVAC Branch Manager Landover, MD"
"R. E. Michel Company, LLC",9/28/2016,Building Services and Maintenance,"The Branch Manager is responsible for effective and profitable management of personnel, inventory and customer service. Working with Regional Managers and sales representative to establish and meet sales goals, in addition to hiring, developing and training personnel. Pre employment screening requir ...","Landover, MD","HVAC Branch Manager Landover, MD"
"R. E. Michel Company, LLC",9/28/2016,Building Services and Maintenance,"The Branch Manager is responsible for effective and profitable management of personnel, inventory and customer service. Working with Regional Managers and sales representative to establish and meet sales goals, in addition to hiring, developing and training personnel. Pre employment screening requir ...","Silver Spring, MD","HVAC Branch Manager Silver Spring, MD"
"T-MOBILE USA, Inc.",9/28/2016,Retail,"You're a born leader. You know how to inspire people and bring out the best in them. You're exactly the person we're looking for. In this role, you'll partner with the Store Manager to lead and develop your team as you make great things happen for your customers. Here are the details It's up to you  ...","Baltimore, MD",Retail Associate Manager
RR Donnelley,9/28/2016,Administrative and Clerical,"Performs manual and clerical duties related to the preparation and shipment of customer samples, components and finished products mailed primarily through Fed Ex, UPS, USPS or other similar carrier. Maintain necessary files and documentation. Utilizes small hand tools and operate scales, metering ma ...","Timonium, MD",Shipping Clerk
"Utz Quality Foods, Inc",9/28/2016,Retail,"Utz is the largest independent, privately held snack brand in United States. The primary mission at Utz is to maintain our hard earned reputation as the premier snack food company in our expanding market area. We will constantly strive to improve our leadership position and grow through the hallmark ...","Hanover, PA",Packer Weekend Night Shift (P2)
"T-MOBILE USA, Inc.",9/28/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","Annapolis, MD",Retail Sales Associate Bilingual - Spanish
"T-MOBILE USA, Inc.",9/28/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","Annapolis, MD",Retail Sales Associate
H.H. Gregg,9/28/2016,Retail,"The following duties and responsibilities are essential in the daily execution of the position Assist members of management with checking in transfer trucks. Put product away in proper area of warehouse. Store maintenance; (including but not limited to) floors (mopping and vacuuming), all glass and  ...","Springfield, VA",Store Warehouse Associate
"adidas America, Inc.",9/27/2016,Retail,"adidas is hiring for retail Cash Wrap Supervisor opportunities in Queenstown, MD. Working at adidas is much more than a job. It's a place where you can experience a connection with your favorite athlete and shape the future of sport. At adidas, you'll take your passion for sport and create a career  ...","Queenstown, MD",Retail Cash Wrap Supervisor - Queenstown 166
"Draeger, Inc.",9/27/2016,Retail,"YOUR TASKS As a leading innovator of neonatal technology, Draeger offers a comprehensive range of products to meet the complex needs of infants, families, and caregivers from specialized incubators to innovative neonatal ventilation systems to mobile monitors and state of the art IT systems. As part ...","Baltimore, MD","Sales Executive - Neonatal Care- Baltimore, MD"
H.H. Gregg,9/27/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Waldorf, MD",Electronic Sales Associate
"adidas America, Inc.",9/27/2016,Retail,"adidas is hiring for retail Team Leader opportunities in McLean, VA. Working at adidas is much more than a job. It's a place where you can experience a connection with your favorite athlete and shape the future of sport. At adidas, you'll take your passion for sport and create a career so fulfilling ...","McLean, VA",Retail Part Time Team Leader - Tyson Corner 537
"adidas America, Inc.",9/27/2016,Retail,"As a Seasonal employee you will support the achievement of Store KPI targets by building an emotional connection with customers and living the Brand Values. The core expectations include utilizing expertise and experience to; serve and sell to customers and achieving operational excellence, flawless ...","Annapolis, MD",Seasonal Retail Store Associate - Annapolis 535 - 2016
"adidas America, Inc.",9/27/2016,Retail,"As a Seasonal employee you will support the achievement of Store KPI targets by building an emotional connection with customers and living the Brand Values. The core expectations include utilizing expertise and experience to; serve and sell to customers and achieving operational excellence, flawless ...","Gettysburg, PA",Seasonal Retail Store Associate - Gettysburg 148 2016
"adidas America, Inc.",9/27/2016,Retail,"As a Seasonal employee you will support the achievement of Store KPI targets by building an emotional connection with customers and living the Brand Values. The core expectations include utilizing expertise and experience to; serve and sell to customers and achieving operational excellence, flawless ...","National Harbor, MD",Seasonal Retail Store Associate - National Harbor 211 2016
"adidas America, Inc.",9/27/2016,Retail,"As a Seasonal employee you will support the achievement of Store KPI targets by building an emotional connection with customers and living the Brand Values. The core expectations include utilizing expertise and experience to; serve and sell to customers and achieving operational excellence, flawless ...","Queenstown, MD",Seasonal Retail Store Associate - Queenstown 166 2016
"adidas America, Inc.",9/27/2016,Retail,"As a Seasonal employee you will support the achievement of Store KPI targets by building an emotional connection with customers and living the Brand Values. The core expectations include utilizing expertise and experience to; serve and sell to customers and achieving operational excellence, flawless ...","McLean, VA",Seasonal Retail Store Associate - Tyson Corner 537 - 2016
"adidas America, Inc.",9/27/2016,Retail,"Contributes to store profitability by ensuring KPIs for a defined area within the store are met or exceeded. The core expectations include coordinating team members to provide the best possible balance of service and operations, resulting in a leading shopping experience. Key Accountabilities Alloca ...","Queenstown, MD",Part-Time Retail Team Leader - Queenstown 166
"Reebok International, LTD",9/27/2016,Retail,"Reebok is the original fitness brand. Fitness is who we are. We pioneered a fitness movement and we are still pioneering today. Every day we are creating products for those who love fitness as much as we do; products that allow you to get every ounce out of your work out, run, walk, yoga, step or da ...","Washington, DC",Part-Time Retail Team Leader - Georgetown FitHub 0665
"Reebok International, LTD",9/27/2016,Retail,"SALES ASSOCIATE PURPOSE As a Rockport Sales Associate, you are responsible for providing customers with an impactful and positive shopping experience. In this role, it is important to convert ""lookers"" into ""buyers"" by utilizing elements of the customer service model as well as product knowledge tha ...","McLean, VA",Retail Store Associate - Tyson's Corner (Rpt)  0917 2016
"Reebok International, LTD",9/27/2016,Retail,"SALES ASSOCIATE PURPOSE As a Rockport Sales Associate, you are responsible for providing customers with an impactful and positive shopping experience. In this role, it is important to convert ""lookers"" into ""buyers"" by utilizing elements of the customer service model as well as product knowledge tha ...","Arlington, VA","Retail Store Associate - Pentagon, VA (Rpt)  0919 2016"
"Reebok International, LTD",9/27/2016,Retail,"SALES ASSOCIATE PURPOSE As a Rockport Sales Associate, you are responsible for providing customers with an impactful and positive shopping experience. In this role, it is important to convert ""lookers"" into ""buyers"" by utilizing elements of the customer service model as well as product knowledge tha ...","Towson, MD","Retail Store Associate - Towson, MD (Rpt)  0923 2016"
"Reebok International, LTD",9/27/2016,Retail,"SALES ASSOCIATE PURPOSE As a Rockport Sales Associate, you are responsible for providing customers with an impactful and positive shopping experience. In this role, it is important to convert ""lookers"" into ""buyers"" by utilizing elements of the customer service model as well as product knowledge tha ...","Columbia, MD","Retail Store Associate - Columbia, MD (Rpt)  0924 2016"
"adidas America, Inc.",9/27/2016,Retail,"PURPOSE & IMPACT ON ORGANIZATION Contribute to meeting or exceeding store sales and profit targets by Passionately inspiring consumer loyalty to the brand Diligently executing store operations, with a special focus on selected functional areas Providing support and feedback to Retail Professionals a ...","National Harbor, MD",Retail Cash Wrap Supervisor - National Harbor 211
H.H. Gregg,9/26/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Enter customer purchases into P.O.S system. Assist in the answering of telephone calls and follow hhgregg phone etiquette. May be responsible for opening and closing registers; verifying and balancing all  ...,"Frederick, MD",Customer Service Representative
Dyson,9/26/2016,Retail,"Demonstrators work part time as members of the Field Sales team to engage consumers in an energetic and confident manner and provide them with knowledgeable information about Dyson. products in select retail locations (i.e. Costco, Bed Bath and Beyond and Best Buy) or events across the United States ...","Gaithersburg, MD","Product Demonstrator - Gaithersburg, MD"
"Bridgestone Retail Operations,...",9/26/2016,Retail,"Job Responsibilities of Customer Experience Manager of Tire Sales Customer experience & selling Sales promotions Assist store manager with Grass Roots Promotions i.e. Exterior Displays, Flyer distribution, calling prior reccomendations, Showroom displays Monthly ""Hot Topic"" update & communication Ti ...","Gambrills, MD",Retail Customer Experience Manager of Tires Sales
Navy Exchange,9/26/2016,Retail,"Sells general merchandise to customers exercising professional selling techniques. Works as part of a sales team to provide service which anticipates and exceeds customer expectations.  Duties and Responsibilities Greets, and engages customers in conversation for purposes of providing sales related  ...","Bethesda, MD",Seasonal Sales Associates
Old Line Bank,9/26/2016,Retail Banking,"The teller is the first point of contact for the customer. They must maintain a friendly and helpful disposition. The primary job of the teller is to process account transactions for existing customers, however they must also be able to assist those who are using the bank for check cashing services  ...","Greenbelt, MD",FT Teller
H.H. Gregg,9/26/2016,Retail,Job Description     ESSENTIAL FUNCTION The basic function of the Furniture Repair Technician is to efficiently and effectively execute and follow through on service and repair of furniture and/or related product. The ideal candidate must have the ability to properly diagnose and determine parts requ ...,"Brandywine, MD",Furniture Repair Technician
H.H. Gregg,9/26/2016,Retail,"Sales Training The primary goal during the Sales Training phase is to initially work on the sales floor to understand the selling process, gain a broader knowledge of our products and services and meet the sales goals assigned by management. Achievement of store sales and profitability budgets on a  ...","Rockville, MD",Retail Manager in Training
H.H. Gregg,9/26/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Assist the opening manager in counting out delivery and transfer trucks. Schedule all incoming direct shipments from the venders. Unload all incoming trucks while minimizing damage and maximizing accuracy. ...,"Brandywine, MD",Warehouse Lead Delivery
H.H. Gregg,9/25/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"York, PA",Home Appliance Sales Associate
H.H. Gregg,9/24/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Baileys Crossroads, VA",Home Appliance Sales Associate
H.H. Gregg,9/24/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Bel Air, MD",Home Appliance Sales Associate
RMSI Merchandising,9/24/2016,Retail,The Wave Merchandiser position is designed to help Team Lead execute all aspects of Store Resets per Team Lead's directive at field level. 100% of the time on the job is spent in retail settings working to execute all Reset related functions per Category Instructions. ESSENTIAL FUNCTIONS Re set/Set  ...,"Reston, VA; Sterling, VA; Herndon, VA",Wave Merchandiser
"Reebok International, LTD",9/24/2016,Retail,"SALES ASSOCIATE PURPOSE As a Reebok Sales Associate, you are responsible for providing customers with an impactful and positive shopping experience. In this role, it is important to convert ""lookers"" into ""buyers"" by utilizing elements of the customer service model as well as product knowledge that  ...","Washington, DC",Retail Store Associate - Georgetown FH 0665 2016
H.H. Gregg,9/24/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Largo, MD",Home Appliance Sales Associate
Anderson Merchandisers LLC,9/23/2016,Retail,"The Sales Merchandiser position is responsible for the execution of Anderson Merchandisers standards to drive sales and meet retailer client expectations. Daily communication and follow up with the Territory Sales Lead is expected. We achieve optimal results by implementing the Anderson Approach, wh ...","Frederick, MD","PT Sales Merchandiser - Frederick, MD"
Maryland Department of Transpo...,9/23/2016,Retail,Open and Continuous Applications always accepted NO ONLINE APPLICATIONS ACCEPTED Interview & Hire Position All candidates will be invited to interview based on the date the application is received. Applications will be on file for 12 months from the date received. Duplicate applications will not be  ...,"Baltimore, MD",Toll Collector I
"adidas America, Inc.",9/23/2016,Retail,"Contributes to store profitability by ensuring KPIs for a defined area within the store are met or exceeded. The core expectations include coordinating team members to provide the best possible balance of service and operations, resulting in a leading shopping experience. Key Accountabilities Alloca ...","Annapolis, MD",Retail Team Leader - Annapolis Mall 535
"T-MOBILE USA, Inc.",9/22/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","Dulles, VA",Retail Sales Associate
Arlington County Government,9/22/2016,Retail,"ASSISTANT PURCHASING AGENT  Salary  $73,465.60 $123,822.40 Annually $35.32 $59.53 Hourly$2,825.60 $4,762.40 Biweekly$73,465.60 $123,822.40 Annually  Location  Arlington METRO accessible , VA 2100 Clarendon Blvd., Arlington METRO accessible , VA   Job Type  Full Time  Department  Department of Manage ...","Arlington, VA",ASSISTANT PURCHASING AGENT
"R. E. Michel Company, LLC",9/22/2016,Retail,"Job Title Distribution Support 3 Warehouse Full Time/Non Exempt Glen Burnie, Maryland Corporate Headquarters Central Distribution Warehouses RE Michel Company, LLC is a leading HVACR wholesale distributor with over 260 locations coast to coast (opening new and renovating current locations across its ...","Glen Burnie, MD",MD Warehouse Distribution Support 3
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Springfield, VA",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Job Responsibilities of Retail Sales Teammate In this excellent opportunity, you'll be responsible for presenting tire product and automotive service clearly while developing retail merchandising skills in order to provide professional, timely and courteous customer service. Demonstrate a high level ...","York, PA",Retail Sales Teammate - PT
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","York, PA",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","WESTMINSTER, MD",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","PERRY HALL, MD",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Odenton, MD",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Glen Burnie, MD",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Fulton, MD",Retail Store Management Trainee
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Fort Meade, MD",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Job Responsibilities of Customer Experience Manager of Tire Sales Customer experience & selling Sales promotions Assist store manager with Grass Roots Promotions i.e. Exterior Displays, Flyer distribution, calling prior reccomendations, Showroom displays Monthly ""Hot Topic"" update & communication Ti ...","Capitol Heights, MD",Retail Customer Experience Manager of Tires Sales
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Bel Air, MD",Retail Sales Teammate
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Job Responsibilities of Retail Store Manager Trainee Build teammate Capability and Retention Build Teammate and Customer Satisfaction & Loyalty Provide Tire and Auto Products and Services Creating Results for Teammates, Customers, and the Company Involved in every aspect of the store operation. To i ...","Baltimore, MD",Retail Store Manager
"Bridgestone Retail Operations,...",9/22/2016,Retail,"Development and Retention of Teammates. Building Customer Satisfaction & Loyalty. Providing Tire and Auto Products and Services. Creating Results for Teammates, Customers, and the Company. The Merchandising, Advertising and Promotion of Products and Services. Selecting, Coaching and Developing Store ...","Annapolis, MD",Retail Sales Teammate
H.H. Gregg,9/22/2016,Retail,"The following duties and responsibilities are essential in the daily execution of the position Assist members of management with checking in transfer trucks. Put product away in proper area of warehouse. Store maintenance; (including but not limited to) floors (mopping and vacuuming), all glass and  ...","Baileys Crossroads, VA",Store Warehouse Associate
"R. E. Michel Company, LLC",9/22/2016,Retail,"INTERNAL APPLICANTS ONLY Job Title Distribution Support 3 Warehouse Full Time/Non Exempt Glen Burnie, Maryland Corporate Headquarters Central Distribution Warehouses RE Michel Company, LLC is a leading HVACR wholesale distributor with over 260 locations coast to coast (opening new and renovating cur ...","Glen Burnie, MD",*INTERNAL APPLICANTS ONLY* MD Warehouse Distribution Support...
H.H. Gregg,9/21/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Enter customer purchases into P.O.S system. Assist in the answering of telephone calls and follow hhgregg phone etiquette. May be responsible for opening and closing registers; verifying and balancing all  ...,"York, PA",Customer Service Representative
Batteries Plus LLC,9/21/2016,Retail,Sales Associate and Device Repair Technician Batteries Plus Bulbs is hiring a Full Time Sales Associate and Device Repair team member for our Alexandria store in Northern Virginia. Our Associates provide solutions for both existing and prospective customers. They are on the leading edge of new techn ...,"Alexandria, VA","Sales Associate and Device Repair Technician - Alexandria, V..."
RR Donnelley,9/21/2016,Retail,"The RR Donnelley Packaging Premedia Sales Group is currently seeking a Sales Representative The successful candidate will be able to present and offer prospects and customers relevant world class unique and valuable premedia solutions through our network of regional, and global premedia and prepress ...","Fairfax, VA",Premedia-Packaging Sales Rep
Batteries Plus LLC,9/21/2016,Retail,Sales Associate and Device Repair Technician Batteries Plus Bulbs is hiring a Full Time Sales Associate and Device Repair team member for our Fairfax store in Northern Virginia. Our Associates provide solutions for both existing and prospective customers. They are on the leading edge of new technolo ...,"Fairfax, VA",Sales Associate and Device Repair Technician - Fairfax Virgi...
H.H. Gregg,9/21/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Check in transfer trucks and ship out product Check in trucks and verifying any variances with management Conduct daily spot check or cycle counts Verify all returns from previous days business utilizing t ...,"Springfield, VA",Store Operations Lead
H.H. Gregg,9/21/2016,Retail,"The following duties and responsibilities are essential in the daily execution of the position Answer calls from the stores and customers assist them with their questions and problems. Contact customer to confirm their delivery date, address and product being delivered or installed. Communicate with ...","Brandywine, MD",Office Delivery II
H.H. Gregg,9/21/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Enter customer purchases into P.O.S system. Assist in the answering of telephone calls and follow hhgregg phone etiquette. May be responsible for opening and closing registers; verifying and balancing all  ...,"Bel Air, MD",Customer Service Representative
RMSI Merchandising,9/21/2016,Retail,"Position Function The Schematics Analyst is responsible for the creation and maintenance of product shelf schematics through software programs for selected categories. Key Responsibilities include, but are not limited to Create, revise and maintain schematics/product placement for multiple categorie ...","Baltimore, MD",Schematic Analyst
RMSI Merchandising,9/21/2016,Retail,"Position Function The Reset Coordinator is responsible for all aspects regarding the scheduling, coordination, and execution of Albertsons/Safeway division merchandising projects, such as new stores, remodels, refreshes, and other store specific division merchandising activities, including the maint ...","Baltimore, MD",Reset Coordinator
H.H. Gregg,9/21/2016,Retail,"The following duties and responsibilities are essential in the daily execution of the position Answer calls from the stores and customers assist them with their questions and problems. Contact customer to confirm their delivery date, address and product being delivered or installed. Communicate with ...","Brandywine, MD",Office Shipping II- 3rd Shift
H.H. Gregg,9/21/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Greet customers from the point sincerely and enthusiastically without pressuring or becoming overbearing. Constantly look for and approach customers Qualify the customer through listening and questioning.  ...,"Rockville, MD",Home Appliance Sales Associate
Healthy Directions,9/20/2016,Retail,"Senior Marketing Manager Are you a Marketing Pro looking for your next leadership opportunity? Better yet, are you someone who can (and likes to!) pivot from Creative to Analytical tasks without missing a beat? Are you an effective communicator? Interested in working at a company with a strong healt ...","Bethesda, MD",Sr. Marketing Manager
H.H. Gregg,9/19/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Enter customer purchases into P.O.S system. Assist in the answering of telephone calls and follow hhgregg phone etiquette. May be responsible for opening and closing registers; verifying and balancing all  ...,"Hanover, MD",Customer Service Representative
RMSI Merchandising,9/19/2016,Retail,"This is a critical role in managing the planned retail activity (calendar) to maintain stability with the teams. This position interacts with the Sales Managers, Assistant Sales Managers, schematic team and the Reset Manager. KEY RESPONSIBILITES Maintain category reset schedules and NICI schedules C ...","Baltimore, MD",Project Coordinator
H.H. Gregg,9/19/2016,Retail,The following duties and responsibilities are essential in the daily execution of the position Enter customer purchases into P.O.S system. Assist in the answering of telephone calls and follow hhgregg phone etiquette. May be responsible for opening and closing registers; verifying and balancing all  ...,"Baileys Crossroads, VA",Customer Service Representative
